,,,,,,d=2,Von Neumann,it= 100
Function,single-best mean,single-best std,avg-best mean,avg-best std,all mean,all std,,
f1 Sphere,0.250251192,0.053961758,0.222766207,0.026193898,0.232841875,0.04245532,,
f2 Ellipsoid,0.023872851,0.026682841,0.016987076,0.018872722,0.018486406,0.022248458,,
f3 Rastrigin,0.100771713,0.028203305,0.100771713,0.028203305,0.092952641,0.021050808,,
f4 BuecheRastrigin,0.098682497,0.030555139,0.078065751,0.014530283,0.086602636,0.022429811,,
f5 LinearSlope,0.154947864,0.027248483,0.154947864,0.027248483,0.137349382,0.023200611,,
f6 AttractiveSector,0.143985536,0.034551062,0.138415927,0.023338919,0.132452474,0.028863345,,
f7 StepEllipsoid,0.190979987,0.046034643,0.178493665,0.042641561,0.182831873,0.037952275,,
f8 Rosenbrock,0.144161687,0.038239599,0.132951969,0.058473467,0.133965847,0.048235292,,
f9 RosenbrockRotated,0.163256228,0.038137328,0.163256228,0.038137328,0.143485742,0.048835804,,
f10 EllipsoidRotated,0.023598108,0.030379509,0.023598108,0.030379509,0.015719337,0.018483575,,
f11Discus,0.059000001,0.042164,0.06,0.042164,0.06,0.040056,,
f12 BentCigar,0.018426936,0.015301131,0.018394493,0.015319674,0.013555128,0.012751146,,
f13 SharpRidge,0.071945496,0.025410374,0.066193569,0.023882864,0.061937904,0.02755079,,
f14 DifferentPowers,0.249282426,0.033189948,0.246088302,0.036945294,0.238761869,0.034272486,,
f15 RastriginRotated,0.107862534,0.031265488,0.106362984,0.031921225,0.100455626,0.024084428,,
f16 Weierstrass,0.167806412,0.055167384,0.154256306,0.036526988,0.157001607,0.038740449,,
f17 Schaffers10,0.17495661,0.0191232,0.17364356,0.019569286,0.167231737,0.017603624,,
f18 Schaffers1000,0.127481219,0.017806734,0.120746709,0.018653471,0.110753198,0.022670709,,
f19 GriewankRosenbrock,0.244507234,0.057117827,0.236561856,0.053161815,0.219834716,0.047204905,,
f20 Schwefel,0.151363278,0.023846604,0.149520063,0.02939556,0.14487522,0.020373967,,
f21 Gallagher101,0.237436186,0.065685788,0.220516311,0.034767784,0.21937265,0.045846913,,
f22 Gallagher21,0.226585574,0.084057521,0.222179279,0.048720323,0.218796556,0.05758596,,
f23 Katsuura,0.148711841,0.022234745,0.143975261,0.022240784,0.141659791,0.021197948,,
f24 LunacekBiRastrigin,0.122602464,0.016014795,0.115716768,0.011320667,0.117980126,0.01258298,,
